wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.5853, 'grad_norm': 1.437273383140564, 'learning_rate': 2.4086335623379997e-06, 'epoch': 2.4}
{'loss': 0.5077, 'grad_norm': 1.3354548215866089, 'learning_rate': 2.21658367533073e-06, 'epoch': 2.42}
{'loss': 0.5127, 'grad_norm': 1.3257251977920532, 'learning_rate': 2.0315543844525907e-06, 'epoch': 2.45}
{'loss': 0.5738, 'grad_norm': 1.349834680557251, 'learning_rate': 1.8537125850447913e-06, 'epoch': 2.48}
{'loss': 0.5196, 'grad_norm': 1.4014569520950317, 'learning_rate': 1.683218689373156e-06, 'epoch': 2.5}
{'loss': 0.5083, 'grad_norm': 1.2816776037216187, 'learning_rate': 1.5202264819372037e-06, 'epoch': 2.53}
{'loss': 0.6024, 'grad_norm': 1.5131455659866333, 'learning_rate': 1.3648829807574081e-06, 'epoch': 2.55}
{'loss': 0.5846, 'grad_norm': 1.4724174737930298, 'learning_rate': 1.2173283047658158e-06, 'epoch': 2.58}
{'loss': 0.5586, 'grad_norm': 1.3375120162963867, 'learning_rate': 1.0776955474195783e-06, 'epoch': 2.61}
{'loss': 0.5455, 'grad_norm': 1.2478196620941162, 'learning_rate': 9.461106566514288e-07, 'epoch': 2.63}
{'loss': 0.526, 'grad_norm': 1.9257962703704834, 'learning_rate': 8.226923212653937e-07, 'epoch': 2.66}
{'loss': 0.5417, 'grad_norm': 1.3365585803985596, 'learning_rate': 7.075518638801681e-07, 'epoch': 2.68}
{'loss': 0.5495, 'grad_norm': 1.0622328519821167, 'learning_rate': 6.007931405167722e-07, 'epoch': 2.71}
{'loss': 0.5419, 'grad_norm': 1.2308635711669922, 'learning_rate': 5.025124469210262e-07, 'epoch': 2.74}
{'loss': 0.5482, 'grad_norm': 1.310610055923462, 'learning_rate': 4.127984317053402e-07, 'epoch': 2.76}
{'loss': 0.518, 'grad_norm': 1.2120840549468994, 'learning_rate': 3.3173201638819983e-07, 'epoch': 2.79}
{'loss': 0.5444, 'grad_norm': 1.1713258028030396, 'learning_rate': 2.5938632240340653e-07, 'epoch': 2.81}
{'loss': 0.5435, 'grad_norm': 1.5297778844833374, 'learning_rate': 1.9582660514499197e-07, 'epoch': 2.84}
{'loss': 0.5545, 'grad_norm': 1.3481427431106567, 'learning_rate': 1.4111019510721692e-07, 'epoch': 2.86}
{'loss': 0.5548, 'grad_norm': 1.5371372699737549, 'learning_rate': 9.528644617281202e-08, 'epoch': 2.89}
{'loss': 0.5328, 'grad_norm': 1.2210034132003784, 'learning_rate': 5.839669109605317e-08, 'epoch': 2.92}
{'loss': 0.5208, 'grad_norm': 1.2276724576950073, 'learning_rate': 3.047420422086611e-08, 'epoch': 2.94}
{'loss': 0.5584, 'grad_norm': 1.3580080270767212, 'learning_rate': 1.154417146755904e-08, 'epoch': 2.97}
{'loss': 0.5767, 'grad_norm': 1.3714511394500732, 'learning_rate': 1.6236676152658892e-09, 'epoch': 2.99}
{'train_runtime': 1882.1273, 'train_samples_per_second': 4.925, 'train_steps_per_second': 0.309, 'train_loss': 0.6523099989211026, 'epoch': 3.0}
