wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 0.1568, 'grad_norm': 0.3668782413005829, 'learning_rate': 2.9059829059829063e-05, 'epoch': 13.08}
{'loss': 0.1517, 'grad_norm': 0.31032687425613403, 'learning_rate': 2.621082621082621e-05, 'epoch': 13.27}
{'loss': 0.1518, 'grad_norm': 0.3096517324447632, 'learning_rate': 2.336182336182336e-05, 'epoch': 13.46}
{'loss': 0.1565, 'grad_norm': 0.3566608130931854, 'learning_rate': 2.0512820512820512e-05, 'epoch': 13.65}
{'loss': 0.1586, 'grad_norm': 0.3537118136882782, 'learning_rate': 1.7663817663817662e-05, 'epoch': 13.85}
{'loss': 0.1532, 'grad_norm': 0.3205147087574005, 'learning_rate': 1.4814814814814815e-05, 'epoch': 14.04}
{'loss': 0.1516, 'grad_norm': 0.31698089838027954, 'learning_rate': 1.1965811965811967e-05, 'epoch': 14.23}
{'loss': 0.1526, 'grad_norm': 0.31941115856170654, 'learning_rate': 9.116809116809118e-06, 'epoch': 14.42}
{'loss': 0.1511, 'grad_norm': 0.30310767889022827, 'learning_rate': 6.267806267806268e-06, 'epoch': 14.62}
{'loss': 0.1512, 'grad_norm': 0.3386918306350708, 'learning_rate': 3.4188034188034193e-06, 'epoch': 14.81}
{'loss': 0.1535, 'grad_norm': 0.3356216549873352, 'learning_rate': 5.698005698005699e-07, 'epoch': 15.0}
{'train_runtime': 590.0505, 'train_samples_per_second': 5.288, 'train_steps_per_second': 0.661, 'train_loss': 0.3431425889333089, 'epoch': 15.0}
